Com es representa el nombre 2993 en nombres romans?;MMMXCIII;MCMXCIII;MMCMXCIII;MMMCMXCIII;MMCMXCIII;MMCMXCIII
Quin dels següents taurons és més gran?;El tauró negre;El tauró ballena;El tauró clau;El tauró blanc;El tauró ballena;Ballena
De quin color és la pantera?;Blanca;Marró;Pardo;Negre;Negre;Black
En un septenni, quants anys transcorren?;5;7;10;6;7;Seven
Què és el nenúfar ?;Un animal;Un arbre;Una planta;Una malaltia;Una planta;Planta
Es diu que la divisió és entera quan:;Quan la resta és cero;La resta és diferent de cero;Quan la resta és un nombre impar;Quan la resta és un nombre parell;La resta és diferent de cero;%!0
Quina de les següents fonts és una energia renovable?;Petroli;Energia nuclear;Biomassa;Gas natural;Biomassa;Bio
El moviment de translació triga un total de:;365 dies amb 5 hores;365 dies amb 4 hores;365 dies amb 6 hores;365 dies amb 7 hores;365 dies amb 6 hores;356+6
Com es representa el nombre 3045 en nombres romans?;MMMXLV;MMMLX;MMDLXV;MMCCLXV;MMMXLV;MMMXLV
La unitat de volum en el Sistema Internacional és:;Ampere per metre;Metre quadrat;Ampere per metre quadrat;Metre cúbic;Metre cúbic;Cúbic
Qui va inventar la bombeta incandescent?;Morse;Volta;Bell;Edison;Edison;Thomas
Com s'anomena als objectes que deixen passar la llum però que no es pot veure a través d'ells?;Transparent;Refractant;Translúcid;Opac;Translúcid;Translúcid
La poltres és el nom de la cria de:;Cabra;Cavall;Borrego;Ruc;Cavall;Cavall
En un decenni, quants anys transcorren?;7;10;6;12;10;Deu
