El Renaixement es va produir a Europa Occidental durant:;L'Edat Mitjana;L'Edat Moderna;L'Edat Contemporània;L'Edat Contemporània;L'Edat Moderna;Moderna
Quin va ser el primer ús que va tenir el ferrocarril a principis del segle XIX?;Transport de mercaderies;Esbarjo;Unitats militars;Extracció del carbó de les mines;Transport de mercaderies;Transports
Quines van ser les dues ciutats més importants durant l'antic Egipte?;Persépolis i Babilònia;Memphis i Roma;Atenes i Tebes;Memfis i Tebes;Memfis i Tebes;Tebes
"Què rei va rebre el sobrenom de ""El Savi""?";Felipe IV;Alfonso X;Carlos V;Carlos IV;Alfonso X;Alfonso
Quan va començar la Primera Guerra Mundial?;1912;1915;1914;1913;1914;1914
La dictadura de Franco va ocórrer entre:;1939 - 1974;1938 - 1974;1938 - 1975;1939 - 1975;1939 - 1975;1939 - 1975
Qui va ser el primer emperador de Roma?;Nerón;Trajano;Augusto;Julio César;Augusto;Augusto
Com va morir Joana d'Arc?;Enverinada;Ofegada;Decapitada;Cremada a la foguera;Cremada a la foguera;Foguera
Quina era la nacionalitat de Juli Cèsar?;Persa;Grega;Romana;Egípcia;Romana;Romana
En la Revolució Industrial es va produir: una revolució agrària, tecnològica, de transport i:;Econòmica;Demogràfica;Humana;Ramadera;Demogràfica;Demogràfica
En quin any va començar la Segona Guerra Mundial?;1939;1941;1940;1942;1939;1939
Com es deien als descendents dels primers pobladors de Roma?;Etruscs;Incas;Patricis;Metecs;Patricis;Patricis
