Qui va realitzar la façana de la Basílica de Santa Maria Novella de Florència?;Alberti;Brunelleschi;Sagnier;Bernini;Alberti;Al…
A quin país es troba el Partenó?;Itàlia;Grècia;França;Espanya;Grècia;y
En quin moviment cultural es troba Rembrandt?;Romànic;Renaixement;Gòtic;Barroc;Barroc;Bar…
"Quin artista va pintar ""El somni de Constantí""?";Rembrandt;Botticelli;Piero Della Francesca;Masaccio;Piero Della Francesca;Piero
En quin moviment cultural es troba Van Gogh?;Realisme;Fauvisme;Impressionisme;Romanticisme;Impressionisme;Impresiona
"En quina ciutat es troba ""La Font de la Cibeles""?";Barcelona;Madrid;Sevilla;València;Madrid;Capital espanyola
"Qui es va encarregar de dissenyar la ""Ciutat de les Arts i les Ciències"" de València?";Félix Candela;José María López Piñero;Joan Lerma;Santiago Calatrava;Santiago Calatrava;Calatrava
"En què museu es troba ""La Gioconda""?";Museu Thyssen;Museu de Santa Sofia;Museu del Louvre;Museu del Prado;Museu del Louvre;Louvre
En quin moviment cultural es troba Charles Garnier?;Romànic;Gòtic;Barroc;Romanticisme;Romanticisme;Romantic
En quin moviment cultural es troba Rubens?;Renaixement;Romànic;Barroc;Gòtic;Barroc;Bar…
"Qui va dissenyar el ""Parc Güell"" declarat patrimoni de la Humanitat?";Ramon Casas;Antonio Gaudí;Enric Sagnier;Santiago Rusiñol;Antonio Gaudí;Sagrada Familia
L'Aqüeducte de Segòvia és una construcció:;Grecoromana;Romana;Grega.;Bizantina;Romana;Calamars
On es troba el Museu Calouste Gulbenkian?;Londres;Lisboa;París;Madrid;Lisboa;Portugal
"On es troba ""La creació d'Adam"" de Miquel Àngel?";A la Capella Sixtina;Al Museu del Louvre;Al Museu del Prado;Al Museu Reina Sofia;A la Capella Sixtina;Capella
"Quin artista va realitzar ""Donatello""?";Donatello;Ghiberti;Miguel Ángel;Bernini;Donatello;Dona…
